web-scraper-order,web-scraper-start-url,season,season-href,anime,anime-href,name,score,rank,popularity,members,season_repeat,type,studio
1648521147-119,https://myanimelist.net/anime/season/archive,Summer 1972,https://myanimelist.net/anime/season/1972/summer,Mon Cheri CoCo,https://myanimelist.net/anime/22893/Mon_Cheri_CoCo,Mon Cheri CoCo,N/A,#12642,#11974,820,Summer 1972,TV,null
1648538835-2856,https://myanimelist.net/anime/season/archive,Fall 2013,https://myanimelist.net/anime/season/2013/fall,Tokyo Ravens,https://myanimelist.net/anime/16011/Tokyo_Ravens,Tokyo Ravens,7.46,#1769,#402,"439,958",Fall 2013,TV,8bit
1648550140-4679,https://myanimelist.net/anime/season/archive,Fall 2021,https://myanimelist.net/anime/season/2021/fall,Konu to Tanoshii Otomodachi,https://myanimelist.net/anime/50142/Konu_to_Tanoshii_Otomodachi,Konu to Tanoshii Otomodachi,N/A,#17332,#18442,79,Fall 2021,TV,null
1648547412-4243,https://myanimelist.net/anime/season/archive,Winter 2018,https://myanimelist.net/anime/season/2018/winter,Gin no Guardian II,https://myanimelist.net/anime/35757/Gin_no_Guardian_II,Gin no Guardian II,6.54,#6039,#2545,"52,067",Winter 2018,TV,Emon
1648546079-4024,https://myanimelist.net/anime/season/archive,Fall 2018,https://myanimelist.net/anime/season/2018/fall,Chuldong! Super Wings 3,https://myanimelist.net/anime/39820/Chuldong_Super_Wings_3,Chuldong! Super Wings 3,N/A,#15758,#15600,263,Fall 2018,TV,null
1648547863-4316,https://myanimelist.net/anime/season/archive,Fall 2019,https://myanimelist.net/anime/season/2019/fall,Hoshiai no Sora,https://myanimelist.net/anime/37972/Hoshiai_no_Sora,Hoshiai no Sora,7.59,#1355,#1132,"166,828",Fall 2019,TV,8bit
1648520960-95,https://myanimelist.net/anime/season/archive,Spring 1970,https://myanimelist.net/anime/season/1970/spring,Ashita no Joe,https://myanimelist.net/anime/2402/Ashita_no_Joe,Ashita no Joe,8.29,#241,#2061,"73,837",Spring 1970,TV,Mushi Production
1648547730-4294,https://myanimelist.net/anime/season/archive,Fall 2019,https://myanimelist.net/anime/season/2019/fall,Actors: Songs Connection,https://myanimelist.net/anime/38670/Actors__Songs_Connection,Actors: Songs Connection,6.3,#7288,#4595,"15,617",Fall 2019,TV,Drive
1648548085-4352,https://myanimelist.net/anime/season/archive,Summer 2019,https://myanimelist.net/anime/season/2019/summer,Cop Craft,https://myanimelist.net/anime/38940/Cop_Craft,Cop Craft,6.72,#5109,#1646,"104,736",Summer 2019,TV,Millepensee
1648531291-1655,https://myanimelist.net/anime/season/archive,Winter 2005,https://myanimelist.net/anime/season/2005/winter,The World of Golden Eggs,https://myanimelist.net/anime/8189/The_World_of_Golden_Eggs,The World of Golden Eggs,6.39,#6863,#11868,849,Winter 2005,TV,Plus Heads
1648549737-4615,https://myanimelist.net/anime/season/archive,Spring 2020,https://myanimelist.net/anime/season/2020/spring,Tsugu Tsugumomo,https://myanimelist.net/anime/39469/Tsugu_Tsugumomo,Tsugu Tsugumomo,7.46,#1770,#1928,"83,502",Spring 2020,TV,Zero-G
1648533440-1997,https://myanimelist.net/anime/season/archive,Spring 2007,https://myanimelist.net/anime/season/2007/spring,Tengen Toppa Gurren Lagann,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,Tengen Toppa Gurren Lagann,8.64,#64,#57,"1,419,639",Spring 2007,TV,Gainax
1648545160-3876,https://myanimelist.net/anime/season/archive,Summer 2017,https://myanimelist.net/anime/season/2017/summer,Tsurezure Children,https://myanimelist.net/anime/34902/Tsurezure_Children,Tsurezure Children,7.59,#1370,#251,"625,076",Summer 2017,TV,Studio Gokumi
1648537727-2676,https://myanimelist.net/anime/season/archive,Fall 2012,https://myanimelist.net/anime/season/2012/fall,Code:Breaker,https://myanimelist.net/anime/11703/Code_Breaker,Code:Breaker,6.74,#5012,#625,"300,084",Fall 2012,TV,Kinema Citrus
1648523003-384,https://myanimelist.net/anime/season/archive,Fall 1983,https://myanimelist.net/anime/season/1983/fall,Captain Tsubasa,https://myanimelist.net/anime/2116/Captain_Tsubasa,Captain Tsubasa,7.32,#2347,#2028,"76,505",Fall 1983,TV,Tsuchida Productions
1648530083-1462,https://myanimelist.net/anime/season/archive,Fall 2004,https://myanimelist.net/anime/season/2004/fall,Sunabouzu,https://myanimelist.net/anime/25/Sunabouzu,Sunabouzu,7.4,#1996,#1434,"124,207",Fall 2004,TV,Gonzo
1648522396-296,https://myanimelist.net/anime/season/archive,Fall 1980,https://myanimelist.net/anime/season/1980/fall,Tetsuwan Atom (1980),https://myanimelist.net/anime/3044/Tetsuwan_Atom_1980,Tetsuwan Atom (1980),7.13,#3299,#5118,"11,933",Fall 1980,TV,Tezuka Productions
1648542476-3442,https://myanimelist.net/anime/season/archive,Winter 2015,https://myanimelist.net/anime/season/2015/winter,Uwabaki Cook no Tekitou Uranai!,https://myanimelist.net/anime/30605/Uwabaki_Cook_no_Tekitou_Uranai,Uwabaki Cook no Tekitou Uranai!,N/A,#14591,#14898,313,Winter 2015,TV,null
1648528945-1281,https://myanimelist.net/anime/season/archive,Spring 2002,https://myanimelist.net/anime/season/2002/spring,Wagamama?Fairy Mirumo de Pon!,https://myanimelist.net/anime/1744/Wagamama%E2%98%86Fairy_Mirumo_de_Pon,Wagamama?Fairy Mirumo de Pon!,7.29,#2512,#4421,"17,232",Spring 2002,TV,Studio Hibari
1648540723-3156,https://myanimelist.net/anime/season/archive,Spring 2014,https://myanimelist.net/anime/season/2014/spring,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,https://myanimelist.net/anime/21167/Escha___Logy_no_Atelier__Tasogare_no_Sora_no_Renkinjutsushi,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,6.44,#6583,#2406,"57,978",Spring 2014,TV,Studio Gokumi
1648548133-4360,https://myanimelist.net/anime/season/archive,Summer 2019,https://myanimelist.net/anime/season/2019/summer,Toaru Kagaku no Accelerator,https://myanimelist.net/anime/38480/Toaru_Kagaku_no_Accelerator,Toaru Kagaku no Accelerator,7.2,#2930,#970,"197,163",Summer 2019,TV,J.C.Staff
1648534927-2232,https://myanimelist.net/anime/season/archive,Fall 2009,https://myanimelist.net/anime/season/2009/fall,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail,Fairy Tail,7.59,#1348,#44,"1,559,047",Fall 2009,TV,Satelight
1648552041-4976,https://myanimelist.net/anime/season/archive,Spring 2022,https://myanimelist.net/anime/season,Kakkou no Iinazuke,https://myanimelist.net/anime/48675/Kakkou_no_Iinazuke,Kakkou no Iinazuke,N/A,N/A,#2162,"68,975",Spring 2022,TV,SynergySP
1648550569-4749,https://myanimelist.net/anime/season/archive,Summer 2021,https://myanimelist.net/anime/season/2021/summer,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,https://myanimelist.net/anime/40960/Cheat_Kusushi_no_Slow_Life__Isekai_ni_Tsukurou_Drugstore,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,6.5,#6265,#1698,"100,776",Summer 2021,TV,EMT Squared
1648540561-3129,https://myanimelist.net/anime/season/archive,Spring 2014,https://myanimelist.net/anime/season/2014/spring,Neko no Dayan,https://myanimelist.net/anime/23555/Neko_no_Dayan,Neko no Dayan,N/A,#12840,#13007,560,Spring 2014,TV,Kachidoki Studio
1648522360-290,https://myanimelist.net/anime/season/archive,Fall 1980,https://myanimelist.net/anime/season/1980/fall,Ojamanga Yamada-kun,https://myanimelist.net/anime/16530/Ojamanga_Yamada-kun,Ojamanga Yamada-kun,6.16,#7973,#12560,667,Fall 1980,TV,null
1648547022-4179,https://myanimelist.net/anime/season/archive,Spring 2018,https://myanimelist.net/anime/season/2018/spring,Amanchu! Advance,https://myanimelist.net/anime/36800/Amanchu_Advance,Amanchu! Advance,7.13,#3255,#3439,"29,720",Spring 2018,TV,J.C.Staff
1648531556-1698,https://myanimelist.net/anime/season/archive,Fall 2006,https://myanimelist.net/anime/season/2006/fall,Souten no Ken,https://myanimelist.net/anime/1541/Souten_no_Ken,Souten no Ken,6.69,#5263,#5296,"10,876",Fall 2006,TV,APPP
1648536551-2490,https://myanimelist.net/anime/season/archive,Fall 2011,https://myanimelist.net/anime/season/2011/fall,Phi Brain: Kami no Puzzle,https://myanimelist.net/anime/9981/Phi_Brain__Kami_no_Puzzle,Phi Brain: Kami no Puzzle,7.18,#3004,#1675,"102,308",Fall 2011,TV,Sunrise
1648528436-1203,https://myanimelist.net/anime/season/archive,Spring 2001,https://myanimelist.net/anime/season/2001/spring,Geneshaft,https://myanimelist.net/anime/909/Geneshaft,Geneshaft,6.35,#7022,#4955,"12,879",Spring 2001,TV,Satelight
1648520756-67,https://myanimelist.net/anime/season/archive,Fall 1969,https://myanimelist.net/anime/season/1969/fall,Hakushon Daimaou,https://myanimelist.net/anime/2892/Hakushon_Daimaou,Hakushon Daimaou,6.06,#8523,#10047,"1,763",Fall 1969,TV,Tatsunoko Production
1648525085-689,https://myanimelist.net/anime/season/archive,Spring 1992,https://myanimelist.net/anime/season/1992/spring,Chikyuu SOS Sore Ike Kororin,https://myanimelist.net/anime/14623/Chikyuu_SOS_Sore_Ike_Kororin,Chikyuu SOS Sore Ike Kororin,N/A,#15701,#15400,276,Spring 1992,TV,Gallop
1648549253-4538,https://myanimelist.net/anime/season/archive,Summer 2020,https://myanimelist.net/anime/season/2020/summer,Xi Yangyang Yu Hui Tailang: Yiguo Da Yingjiu,https://myanimelist.net/anime/44002/Xi_Yangyang_Yu_Hui_Tailang__Yiguo_Da_Yingjiu,Xi Yangyang Yu Hui Tailang: Yiguo Da Yingjiu,N/A,#14762,#18287,93,Summer 2020,TV,null
1648527968-1128,https://myanimelist.net/anime/season/archive,Winter 2000,https://myanimelist.net/anime/season/2000/winter,Miami Guns,https://myanimelist.net/anime/783/Miami_Guns,Miami Guns,6.46,#6445,#6805,"5,831",Winter 2000,TV,Group TAC
1648543126-3549,https://myanimelist.net/anime/season/archive,Fall 2016,https://myanimelist.net/anime/season/2016/fall,Occultic;Nine,https://myanimelist.net/anime/32962/Occultic_Nine,Occultic;Nine,6.91,#4231,#1033,"181,294",Fall 2016,TV,A-1 Pictures
1648549773-4621,https://myanimelist.net/anime/season/archive,Spring 2020,https://myanimelist.net/anime/season/2020/spring,Yesterday wo Utatte,https://myanimelist.net/anime/39710/Yesterday_wo_Utatte,Yesterday wo Utatte,6.9,#4268,#717,"266,240",Spring 2020,TV,Doga Kobo
1648523141-405,https://myanimelist.net/anime/season/archive,Spring 1983,https://myanimelist.net/anime/season/1983/spring,Lady Georgie,https://myanimelist.net/anime/2542/Lady_Georgie,Lady Georgie,7.17,#3070,#5734,"8,948",Spring 1983,TV,Tokyo Movie Shinsha
1648531297-1656,https://myanimelist.net/anime/season/archive,Winter 2005,https://myanimelist.net/anime/season/2005/winter,Mafukiden: Pandarian,https://myanimelist.net/anime/4049/Mafukiden__Pandarian,Mafukiden: Pandarian,6.23,#7653,#11808,865,Winter 2005,TV,Planet
1648542873-3507,https://myanimelist.net/anime/season/archive,Fall 2016,https://myanimelist.net/anime/season/2016/fall,Nazotokine,https://myanimelist.net/anime/33690/Nazotokine,Nazotokine,4.82,#12008,#5015,"12,557",Fall 2016,TV,Tengu Kobo
1648545213-3884,https://myanimelist.net/anime/season/archive,Spring 2017,https://myanimelist.net/anime/season/2017/spring,Xiao Hua Xian 3rd Season: Shou Hu Tian Shi,https://myanimelist.net/anime/40092/Xiao_Hua_Xian_3rd_Season__Shou_Hu_Tian_Shi,Xiao Hua Xian 3rd Season: Shou Hu Tian Shi,N/A,#14789,#16467,205,Spring 2017,TV,Taomee
1648545737-3969,https://myanimelist.net/anime/season/archive,Winter 2017,https://myanimelist.net/anime/season/2017/winter,Tokyo Futago Athletic,https://myanimelist.net/anime/33473/Tokyo_Futago_Athletic,Tokyo Futago Athletic,N/A,#14389,#13512,468,Winter 2017,TV,Ripromo
1648539070-2894,https://myanimelist.net/anime/season/archive,Summer 2013,https://myanimelist.net/anime/season/2013/summer,Brothers Conflict,https://myanimelist.net/anime/15605/Brothers_Conflict,Brothers Conflict,6.01,#8721,#1134,"166,749",Summer 2013,TV,Brain's Base
1648523819-504,https://myanimelist.net/anime/season/archive,Fall 1987,https://myanimelist.net/anime/season/1987/fall,Kamen no Ninja Akakage,https://myanimelist.net/anime/13769/Kamen_no_Ninja_Akakage,Kamen no Ninja Akakage,6.3,#7312,#12167,763,Fall 1987,TV,Toei Animation
1648550966-4810,https://myanimelist.net/anime/season/archive,Spring 2021,https://myanimelist.net/anime/season/2021/spring,Seijo no Maryoku wa Bannou Desu,https://myanimelist.net/anime/42826/Seijo_no_Maryoku_wa_Bannou_Desu,Seijo no Maryoku wa Bannou Desu,7.26,#2624,#1380,"131,058",Spring 2021,TV,Diomed?a
1648540693-3151,https://myanimelist.net/anime/season/archive,Spring 2014,https://myanimelist.net/anime/season/2014/spring,Kindaichi Shounen no Jikenbo Returns,https://myanimelist.net/anime/22817/Kindaichi_Shounen_no_Jikenbo_Returns,Kindaichi Shounen no Jikenbo Returns,7.53,#1560,#4479,"16,707",Spring 2014,TV,Toei Animation
1648532220-1805,https://myanimelist.net/anime/season/archive,Spring 2006,https://myanimelist.net/anime/season/2006/spring,Kishin Houkou Demonbane (TV),https://myanimelist.net/anime/1067/Kishin_Houkou_Demonbane_TV,Kishin Houkou Demonbane (TV),6.56,#5937,#3177,"34,819",Spring 2006,TV,View Works
1648546277-4057,https://myanimelist.net/anime/season/archive,Fall 2018,https://myanimelist.net/anime/season/2018/fall,Beelzebub-jou no Okinimesu mama.,https://myanimelist.net/anime/37716/Beelzebub-jou_no_Okinimesu_mama,Beelzebub-jou no Okinimesu mama.,7.25,#2677,#1950,"82,096",Fall 2018,TV,LIDENFILMS
1648526509-899,https://myanimelist.net/anime/season/archive,Winter 1997,https://myanimelist.net/anime/season/1997/winter,Bakusou Kyoudai Let's & Go WGP,https://myanimelist.net/anime/2706/Bakusou_Kyoudai_Lets___Go_WGP,Bakusou Kyoudai Let's & Go WGP,6.99,#3893,#6975,"5,465",Winter 1997,TV,Xebec
1648547016-4178,https://myanimelist.net/anime/season/archive,Spring 2018,https://myanimelist.net/anime/season/2018/spring,Lostorage Conflated WIXOSS,https://myanimelist.net/anime/34607/Lostorage_Conflated_WIXOSS,Lostorage Conflated WIXOSS,7.09,#3445,#3517,"28,483",Spring 2018,TV,J.C.Staff
1648532021-1772,https://myanimelist.net/anime/season/archive,Spring 2006,https://myanimelist.net/anime/season/2006/spring,Shinseiki Duel Masters Flash,https://myanimelist.net/anime/10525/Shinseiki_Duel_Masters_Flash,Shinseiki Duel Masters Flash,5.71,#9953,#12558,668,Spring 2006,TV,SynergySP
1648521940-231,https://myanimelist.net/anime/season/archive,Summer 1977,https://myanimelist.net/anime/season/1977/summer,Chou Denji Machine Voltes V,https://myanimelist.net/anime/1069/Chou_Denji_Machine_Voltes_V,Chou Denji Machine Voltes V,7.43,#1870,#6394,"6,840",Summer 1977,TV,Sunrise
1648531883-1750,https://myanimelist.net/anime/season/archive,Summer 2006,https://myanimelist.net/anime/season/2006/summer,Binbou Shimai Monogatari,https://myanimelist.net/anime/1214/Binbou_Shimai_Monogatari,Binbou Shimai Monogatari,6.87,#4382,#4172,"19,548",Summer 2006,TV,Toei Animation
1648532412-1836,https://myanimelist.net/anime/season/archive,Winter 2006,https://myanimelist.net/anime/season/2006/winter,Kwaegeol Longman Narongi,https://myanimelist.net/anime/19325/Kwaegeol_Longman_Narongi,Kwaegeol Longman Narongi,N/A,#17428,#16385,210,Winter 2006,TV,null
1648536266-2444,https://myanimelist.net/anime/season/archive,Winter 2010,https://myanimelist.net/anime/season/2010/winter,Hello Cocomong,https://myanimelist.net/anime/37942/Hello_Cocomong,Hello Cocomong,N/A,#16467,#17468,148,Winter 2010,TV,null
1648550816-4785,https://myanimelist.net/anime/season/archive,Spring 2021,https://myanimelist.net/anime/season/2021/spring,Mazica Party,https://myanimelist.net/anime/48391/Mazica_Party,Mazica Party,N/A,#12448,#10746,"1,319",Spring 2021,TV,OLM
1648523429-448,https://myanimelist.net/anime/season/archive,Winter 1984,https://myanimelist.net/anime/season/1984/winter,Anime 80-nichikan Sekai Isshuu,https://myanimelist.net/anime/2579/Anime_80-nichikan_Sekai_Isshuu,Anime 80-nichikan Sekai Isshuu,6.81,#4638,#7519,"4,575",Winter 1984,TV,Nippon Animation
